State,State Name,Year,Month,Period,Indicator,Data Value,Percent Complete,Percent Pending Investigation,Footnote
AK,Alaska,2016,January,12 month-ending,Number of Drug Overdose Deaths,126,100,0,
AK,Alaska,2016,February,12 month-ending,Number of Drug Overdose Deaths,128,100,0,
AK,Alaska,2016,March,12 month-ending,Number of Drug Overdose Deaths,125,100,0,
AK,Alaska,2016,April,12 month-ending,Number of Drug Overdose Deaths,132,100,0,
AK,Alaska,2016,May,12 month-ending,Number of Drug Overdose Deaths,140,100,0,
AK,Alaska,2016,June,12 month-ending,Number of Drug Overdose Deaths,138,100,0,
AK,Alaska,2016,July,12 month-ending,Number of Drug Overdose Deaths,143,100,0,
AK,Alaska,2016,August,12 month-ending,Number of Drug Overdose Deaths,138,100,0.0233863424,
AK,Alaska,2016,September,12 month-ending,Number of Drug Overdose Deaths,131,100,0.0469814423,
AK,Alaska,2016,October,12 month-ending,Number of Drug Overdose Deaths,131,100,0.0698974837,
AK,Alaska,2016,November,12 month-ending,Number of Drug Overdose Deaths,133,100,0.069913773,
AK,Alaska,2016,December,12 month-ending,Number of Drug Overdose Deaths,129,100,0.0688389169,
AK,Alaska,2017,January,12 month-ending,Number of Drug Overdose Deaths,126,100,0.0685557587,*Likely underreported due to incomplete data
AK,Alaska,2017,February,12 month-ending,Number of Drug Overdose Deaths,124,100,0.0689972401,*Likely underreported due to incomplete data
AK,Alaska,2017,March,12 month-ending,Number of Drug Overdose Deaths,126,100,0.0688231246,*Likely underreported due to incomplete data
AK,Alaska,2017,April,12 month-ending,Number of Drug Overdose Deaths,117,100,0.0693641618,*Likely underreported due to incomplete data
AK,Alaska,2017,May,12 month-ending,Number of Drug Overdose Deaths,119,100,0.0701426233,*Likely underreported due to incomplete data
AL,Alabama,2015,January,12 month-ending,Number of Deaths,"49,543",100,0.3370809196,
AL,Alabama,2015,February,12 month-ending,Number of Deaths,"50,004",100,0.3239740821,
AL,Alabama,2015,March,12 month-ending,Number of Deaths,"50,486",100,0.3089965535,
AL,Alabama,2015,April,12 month-ending,Number of Deaths,"50,565",100,0.3164244042,
AL,Alabama,2015,May,12 month-ending,Number of Deaths,"50,516",100,0.3187109035,
AL,Alabama,2015,June,12 month-ending,Number of Deaths,"50,658",100,0.3415057839,
AL,Alabama,2015,July,12 month-ending,Number of Deaths,"50,841",100,0.3304419661,
AL,Alabama,2015,August,12 month-ending,Number of Deaths,"50,930",100,0.3318279992,
AL,Alabama,2015,September,12 month-ending,Number of Deaths,"51,044",100,0.323250529,
AL,Alabama,2015,October,12 month-ending,Number of Deaths,"51,091",100,0.3092521188,
AL,Alabama,2015,November,12 month-ending,Number of Deaths,"51,093",100,0.2935822911,
AL,Alabama,2015,December,12 month-ending,Number of Deaths,"50,870",100,0.3105956359,
AL,Alabama,2016,January,12 month-ending,Number of Deaths,"50,534",100,0.3027664543,
AL,Alabama,2016,February,12 month-ending,Number of Deaths,"50,555",100,0.2828602512,
AL,Alabama,2016,March,12 month-ending,Number of Deaths,"50,348",100,0.2820370223,
AL,Alabama,2016,April,12 month-ending,Number of Deaths,"50,391",100,0.2798118712,
AL,Alabama,2016,May,12 month-ending,Number of Deaths,"50,511",100,0.28310665,
AL,Alabama,2016,June,12 month-ending,Number of Deaths,"50,613",100,0.2647541146,
AL,Alabama,2016,July,12 month-ending,Number of Deaths,"50,683",100,0.2781997909,
AL,Alabama,2016,August,12 month-ending,Number of Deaths,"50,756",100,0.2640081961,
AL,Alabama,2016,September,12 month-ending,Number of Deaths,"50,810",100,0.2656957292,
AL,Alabama,2016,October,12 month-ending,Number of Deaths,"50,869",100,0.287011736,
AL,Alabama,2016,November,12 month-ending,Number of Deaths,"51,110",100,0.2758755625,
AL,Alabama,2016,December,12 month-ending,Number of Deaths,"51,432",100,0.2702597605,
AL,Alabama,2017,January,12 month-ending,Number of Deaths,"51,653",100,0.2652314483,*Likely underreported due to incomplete data
AL,Alabama,2017,February,12 month-ending,Number of Deaths,"51,538",100,0.2677635919,*Likely underreported due to incomplete data
AL,Alabama,2017,March,12 month-ending,Number of Deaths,"51,654",100,0.278778023,*Likely underreported due to incomplete data
AL,Alabama,2017,April,12 month-ending,Number of Deaths,"51,771",100,0.2684900813,*Likely underreported due to incomplete data
AL,Alabama,2017,May,12 month-ending,Number of Deaths,"51,911",100,0.2639132361,*Likely underreported due to incomplete data
AL,Alabama,2015,January,12 month-ending,Number of Drug Overdose Deaths,715,100,0.3370809196,
AL,Alabama,2015,February,12 month-ending,Number of Drug Overdose Deaths,723,100,0.3239740821,
AL,Alabama,2015,March,12 month-ending,Number of Drug Overdose Deaths,733,100,0.3089965535,
AL,Alabama,2015,April,12 month-ending,Number of Drug Overdose Deaths,738,100,0.3164244042,
AL,Alabama,2015,May,12 month-ending,Number of Drug Overdose Deaths,755,100,0.3187109035,
AL,Alabama,2015,June,12 month-ending,Number of Drug Overdose Deaths,756,100,0.3415057839,
AL,Alabama,2015,July,12 month-ending,Number of Drug Overdose Deaths,743,100,0.3304419661,
AL,Alabama,2015,August,12 month-ending,Number of Drug Overdose Deaths,736,100,0.3318279992,
AL,Alabama,2015,September,12 month-ending,Number of Drug Overdose Deaths,744,100,0.323250529,
AL,Alabama,2015,October,12 month-ending,Number of Drug Overdose Deaths,730,100,0.3092521188,
AL,Alabama,2015,November,12 month-ending,Number of Drug Overdose Deaths,725,100,0.2935822911,
AL,Alabama,2015,December,12 month-ending,Number of Drug Overdose Deaths,720,100,0.3105956359,
AL,Alabama,2016,January,12 month-ending,Number of Drug Overdose Deaths,706,100,0.3027664543,
AL,Alabama,2016,February,12 month-ending,Number of Drug Overdose Deaths,710,100,0.2828602512,
AL,Alabama,2016,March,12 month-ending,Number of Drug Overdose Deaths,681,100,0.2820370223,
AL,Alabama,2016,April,12 month-ending,Number of Drug Overdose Deaths,676,100,0.2798118712,
AL,Alabama,2016,May,12 month-ending,Number of Drug Overdose Deaths,654,100,0.28310665,
AL,Alabama,2016,June,12 month-ending,Number of Drug Overdose Deaths,674,100,0.2647541146,
AL,Alabama,2016,July,12 month-ending,Number of Drug Overdose Deaths,681,100,0.2781997909,
AL,Alabama,2016,August,12 month-ending,Number of Drug Overdose Deaths,685,100,0.2640081961,
AL,Alabama,2016,September,12 month-ending,Number of Drug Overdose Deaths,695,100,0.2656957292,
AL,Alabama,2016,October,12 month-ending,Number of Drug Overdose Deaths,704,100,0.287011736,
AL,Alabama,2016,November,12 month-ending,Number of Drug Overdose Deaths,718,100,0.2758755625,
AL,Alabama,2016,December,12 month-ending,Number of Drug Overdose Deaths,740,100,0.2702597605,
AL,Alabama,2017,January,12 month-ending,Number of Drug Overdose Deaths,759,100,0.2652314483,*Likely underreported due to incomplete data
AL,Alabama,2017,February,12 month-ending,Number of Drug Overdose Deaths,755,100,0.2677635919,*Likely underreported due to incomplete data
AL,Alabama,2017,March,12 month-ending,Number of Drug Overdose Deaths,785,100,0.278778023,*Likely underreported due to incomplete data
AL,Alabama,2017,April,12 month-ending,Number of Drug Overdose Deaths,785,100,0.2684900813,*Likely underreported due to incomplete data
AL,Alabama,2017,May,12 month-ending,Number of Drug Overdose Deaths,802,100,0.2639132361,*Likely underreported due to incomplete data
AR,Arkansas,2015,January,12 month-ending,Number of Deaths,"30,122",100,0.0497974902,
AR,Arkansas,2015,February,12 month-ending,Number of Deaths,"30,332",100,0.046155875,
AR,Arkansas,2015,March,12 month-ending,Number of Deaths,"30,387",100,0.0460723336,
AR,Arkansas,2015,April,12 month-ending,Number of Deaths,"30,444",100,0.0394166338,
AR,Arkansas,2015,May,12 month-ending,Number of Deaths,"30,602",100,0.0424808836,
AR,Arkansas,2015,June,12 month-ending,Number of Deaths,"30,722",100,0.0423149535,
AR,Arkansas,2015,July,12 month-ending,Number of Deaths,"30,685",100,0.0488838195,
AR,Arkansas,2015,August,12 month-ending,Number of Deaths,"30,884",100,0.0485688382,
AR,Arkansas,2015,September,12 month-ending,Number of Deaths,"30,931",100,0.0614270473,
AR,Arkansas,2015,October,12 month-ending,Number of Deaths,"31,015",100,0.058036434,
AR,Arkansas,2015,November,12 month-ending,Number of Deaths,"31,007",100,0.061276486,
AR,Arkansas,2015,December,12 month-ending,Number of Deaths,"30,986",100,0.0709998064,
AR,Arkansas,2016,January,12 month-ending,Number of Deaths,"30,624",100,0.0718390805,
AR,Arkansas,2016,February,12 month-ending,Number of Deaths,"30,413",100,0.0723374873,
AR,Arkansas,2016,March,12 month-ending,Number of Deaths,"30,421",100,0.0756056671,
AR,Arkansas,2016,April,12 month-ending,Number of Deaths,"30,489",100,0.0787169143,
AR,Arkansas,2016,May,12 month-ending,Number of Deaths,"30,361",100,0.0790487797,
AR,Arkansas,2016,June,12 month-ending,Number of Deaths,"30,435",100,0.0788565796,
AR,Arkansas,2016,July,12 month-ending,Number of Deaths,"30,591",100,0.0751855121,
AR,Arkansas,2016,August,12 month-ending,Number of Deaths,"30,489",100,0.0787169143,
AR,Arkansas,2016,September,12 month-ending,Number of Deaths,"30,541",100,0.0687600275,
AR,Arkansas,2016,October,12 month-ending,Number of Deaths,"30,491",100,0.0754320947,
AR,Arkansas,2016,November,12 month-ending,Number of Deaths,"30,699",100,0.0749210072,
AR,Arkansas,2016,December,12 month-ending,Number of Deaths,"31,030",100,0.0708991299,
AR,Arkansas,2017,January,12 month-ending,Number of Deaths,"31,108",100,0.0771505722,*Likely underreported due to incomplete data
AR,Arkansas,2017,February,12 month-ending,Number of Deaths,"31,140",100,0.0867052023,*Likely underreported due to incomplete data
AR,Arkansas,2017,March,12 month-ending,Number of Deaths,"31,274",100,0.0799386071,*Likely underreported due to incomplete data
AR,Arkansas,2017,April,12 month-ending,Number of Deaths,"31,325",100,0.0861931365,*Likely underreported due to incomplete data
AR,Arkansas,2017,May,12 month-ending,Number of Deaths,"31,404",100,0.1018978474,*Likely underreported due to incomplete data
AR,Arkansas,2015,January,12 month-ending,Number of Drug Overdose Deaths,366,100,0.0497974902,
AR,Arkansas,2015,February,12 month-ending,Number of Drug Overdose Deaths,366,100,0.046155875,
AR,Arkansas,2015,March,12 month-ending,Number of Drug Overdose Deaths,385,100,0.0460723336,
AR,Arkansas,2015,April,12 month-ending,Number of Drug Overdose Deaths,373,100,0.0394166338,
AR,Arkansas,2015,May,12 month-ending,Number of Drug Overdose Deaths,383,100,0.0424808836,
AR,Arkansas,2015,June,12 month-ending,Number of Drug Overdose Deaths,391,100,0.0423149535,
AR,Arkansas,2015,July,12 month-ending,Number of Drug Overdose Deaths,395,100,0.0488838195,
AR,Arkansas,2015,August,12 month-ending,Number of Drug Overdose Deaths,398,100,0.0485688382,
AR,Arkansas,2015,September,12 month-ending,Number of Drug Overdose Deaths,392,100,0.0614270473,
AR,Arkansas,2015,October,12 month-ending,Number of Drug Overdose Deaths,397,100,0.058036434,
AR,Arkansas,2015,November,12 month-ending,Number of Drug Overdose Deaths,389,100,0.061276486,
AR,Arkansas,2015,December,12 month-ending,Number of Drug Overdose Deaths,381,100,0.0709998064,
AR,Arkansas,2016,January,12 month-ending,Number of Drug Overdose Deaths,378,100,0.0718390805,
AR,Arkansas,2016,February,12 month-ending,Number of Drug Overdose Deaths,379,100,0.0723374873,
AR,Arkansas,2016,March,12 month-ending,Number of Drug Overdose Deaths,363,100,0.0756056671,
AR,Arkansas,2016,April,12 month-ending,Number of Drug Overdose Deaths,372,100,0.0787169143,
AR,Arkansas,2016,May,12 month-ending,Number of Drug Overdose Deaths,376,100,0.0790487797,
AR,Arkansas,2016,June,12 month-ending,Number of Drug Overdose Deaths,369,100,0.0788565796,
AR,Arkansas,2016,July,12 month-ending,Number of Drug Overdose Deaths,378,100,0.0751855121,
AR,Arkansas,2016,August,12 month-ending,Number of Drug Overdose Deaths,383,100,0.0787169143,
AR,Arkansas,2016,September,12 month-ending,Number of Drug Overdose Deaths,379,100,0.0687600275,
AR,Arkansas,2016,October,12 month-ending,Number of Drug Overdose Deaths,372,100,0.0754320947,
AR,Arkansas,2016,November,12 month-ending,Number of Drug Overdose Deaths,378,100,0.0749210072,
AR,Arkansas,2016,December,12 month-ending,Number of Drug Overdose Deaths,386,100,0.0708991299,
AR,Arkansas,2017,January,12 month-ending,Number of Drug Overdose Deaths,383,100,0.0771505722,*Likely underreported due to incomplete data
AR,Arkansas,2017,February,12 month-ending,Number of Drug Overdose Deaths,377,100,0.0867052023,*Likely underreported due to incomplete data
AR,Arkansas,2017,March,12 month-ending,Number of Drug Overdose Deaths,383,100,0.0799386071,*Likely underreported due to incomplete data
AR,Arkansas,2017,April,12 month-ending,Number of Drug Overdose Deaths,383,100,0.0861931365,*Likely underreported due to incomplete data
AR,Arkansas,2017,May,12 month-ending,Number of Drug Overdose Deaths,380,100,0.1018978474,*Likely underreported due to incomplete data
AZ,Arizona,2015,January,12 month-ending,Number of Deaths,"52,342",100,0.3266974896,
AZ,Arizona,2015,February,12 month-ending,Number of Deaths,"52,371",100,0.3494300281,
AZ,Arizona,2015,March,12 month-ending,Number of Deaths,"52,826",100,0.3426343089,
AZ,Arizona,2015,April,12 month-ending,Number of Deaths,"53,025",100,0.3413484206,
AZ,Arizona,2015,May,12 month-ending,Number of Deaths,"53,225",100,0.3363081259,
AZ,Arizona,2015,June,12 month-ending,Number of Deaths,"53,462",100,0.3348172534,
AZ,Arizona,2015,July,12 month-ending,Number of Deaths,"53,685",100,0.3241128807,
AZ,Arizona,2015,August,12 month-ending,Number of Deaths,"53,907",100,0.2930973714,
AZ,Arizona,2015,September,12 month-ending,Number of Deaths,"54,058",100,0.2700802841,
AZ,Arizona,2015,October,12 month-ending,Number of Deaths,"54,122",100,0.2494364584,
AZ,Arizona,2015,November,12 month-ending,Number of Deaths,"54,421",100,0.2241781665,
AZ,Arizona,2015,December,12 month-ending,Number of Deaths,"54,853",100,0.1968898693,
AZ,Arizona,2016,January,12 month-ending,Number of Deaths,"54,917",100,0.1602418195,
AZ,Arizona,2016,February,12 month-ending,Number of Deaths,"55,755",100,0.139897767,
AZ,Arizona,2016,March,12 month-ending,Number of Deaths,"56,319",100,0.1544771747,
AZ,Arizona,2016,April,12 month-ending,Number of Deaths,"56,436",100,0.1736480261,
AZ,Arizona,2016,May,12 month-ending,Number of Deaths,"56,522",100,0.2016913768,
AZ,Arizona,2016,June,12 month-ending,Number of Deaths,"56,648",100,0.2612625335,
AZ,Arizona,2016,July,12 month-ending,Number of Deaths,"56,865",100,0.3323661303,
AZ,Arizona,2016,August,12 month-ending,Number of Deaths,"56,960",100,0.3721910112,
AZ,Arizona,2016,September,12 month-ending,Number of Deaths,"57,051",100,0.3943839722,
AZ,Arizona,2016,October,12 month-ending,Number of Deaths,"57,277",100,0.464409798,
AZ,Arizona,2016,November,12 month-ending,Number of Deaths,"57,252",100,0.5205058339,
AZ,Arizona,2016,December,12 month-ending,Number of Deaths,"57,216",100,0.6187080537,
AZ,Arizona,2017,January,12 month-ending,Number of Deaths,"57,217",100,0.6763724068,*Likely underreported due to incomplete data
AZ,Arizona,2017,February,12 month-ending,Number of Deaths,"56,604",100,0.7296304148,*Likely underreported due to incomplete data
AZ,Arizona,2017,March,12 month-ending,Number of Deaths,"56,258",100,0.8229940631,*Likely underreported due to incomplete data
AZ,Arizona,2017,April,12 month-ending,Number of Deaths,"56,437",100,0.9302407995,*Likely underreported due to incomplete data
AZ,Arizona,2017,May,12 month-ending,Number of Deaths,"56,675",100,1.0269078077,*Likely underreported due to incomplete data
AZ,Arizona,2015,January,12 month-ending,Number of Drug Overdose Deaths,"1,193",100,0.3266974896,
AZ,Arizona,2015,February,12 month-ending,Number of Drug Overdose Deaths,"1,175",100,0.3494300281,
AZ,Arizona,2015,March,12 month-ending,Number of Drug Overdose Deaths,"1,174",100,0.3426343089,
AZ,Arizona,2015,April,12 month-ending,Number of Drug Overdose Deaths,"1,173",100,0.3413484206,
AZ,Arizona,2015,May,12 month-ending,Number of Drug Overdose Deaths,"1,184",100,0.3363081259,
AZ,Arizona,2015,June,12 month-ending,Number of Drug Overdose Deaths,"1,209",100,0.3348172534,
AZ,Arizona,2015,July,12 month-ending,Number of Drug Overdose Deaths,"1,201",100,0.3241128807,
AZ,Arizona,2015,August,12 month-ending,Number of Drug Overdose Deaths,"1,240",100,0.2930973714,
AZ,Arizona,2015,September,12 month-ending,Number of Drug Overdose Deaths,"1,241",100,0.2700802841,
AZ,Arizona,2015,October,12 month-ending,Number of Drug Overdose Deaths,"1,264",100,0.2494364584,
AZ,Arizona,2015,November,12 month-ending,Number of Drug Overdose Deaths,"1,269",100,0.2241781665,
AZ,Arizona,2015,December,12 month-ending,Number of Drug Overdose Deaths,"1,267",100,0.1968898693,
AZ,Arizona,2016,January,12 month-ending,Number of Drug Overdose Deaths,"1,298",100,0.1602418195,
AZ,Arizona,2016,February,12 month-ending,Number of Drug Overdose Deaths,"1,307",100,0.139897767,
AZ,Arizona,2016,March,12 month-ending,Number of Drug Overdose Deaths,"1,313",100,0.1544771747,
AZ,Arizona,2016,April,12 month-ending,Number of Drug Overdose Deaths,"1,335",100,0.1736480261,
AZ,Arizona,2016,May,12 month-ending,Number of Drug Overdose Deaths,"1,350",100,0.2016913768,
AZ,Arizona,2016,June,12 month-ending,Number of Drug Overdose Deaths,"1,370",100,0.2612625335,
AZ,Arizona,2016,July,12 month-ending,Number of Drug Overdose Deaths,"1,421",100,0.3323661303,
AZ,Arizona,2016,August,12 month-ending,Number of Drug Overdose Deaths,"1,410",100,0.3721910112,
AZ,Arizona,2016,September,12 month-ending,Number of Drug Overdose Deaths,"1,404",100,0.3943839722,
AZ,Arizona,2016,October,12 month-ending,Number of Drug Overdose Deaths,"1,405",100,0.464409798,
AZ,Arizona,2016,November,12 month-ending,Number of Drug Overdose Deaths,"1,397",100,0.5205058339,
AZ,Arizona,2016,December,12 month-ending,Number of Drug Overdose Deaths,"1,393",100,0.6187080537,
AZ,Arizona,2017,January,12 month-ending,Number of Drug Overdose Deaths,"1,405",100,0.6763724068,*Likely underreported due to incomplete data
AZ,Arizona,2017,February,12 month-ending,Number of Drug Overdose Deaths,"1,390",100,0.7296304148,*Likely underreported due to incomplete data
AZ,Arizona,2017,March,12 month-ending,Number of Drug Overdose Deaths,"1,396",100,0.8229940631,*Likely underreported due to incomplete data
AZ,Arizona,2017,April,12 month-ending,Number of Drug Overdose Deaths,"1,368",100,0.9302407995,*Likely underreported due to incomplete data
AZ,Arizona,2017,May,12 month-ending,Number of Drug Overdose Deaths,"1,361",100,1.0269078077,*Likely underreported due to incomplete data
CA,California,2015,January,12 month-ending,Number of Deaths,"248,191",100,0.2381230585,
CA,California,2015,February,12 month-ending,Number of Deaths,"249,920",100,0.2308738796,
CA,California,2015,March,12 month-ending,Number of Deaths,"251,540",100,0.2246163632,
CA,California,2015,April,12 month-ending,Number of Deaths,"252,831",100,0.2226783899,
CA,California,2015,May,12 month-ending,Number of Deaths,"253,858",100,0.217444398,
CA,California,2015,June,12 month-ending,Number of Deaths,"254,838",100,0.2197474474,
CA,California,2015,July,12 month-ending,Number of Deaths,"255,417",100,0.2243390221,
CA,California,2015,August,12 month-ending,Number of Deaths,"256,464",100,0.2339509639,
CA,California,2015,September,12 month-ending,Number of Deaths,"257,163",100,0.2558688458,
CA,California,2015,October,12 month-ending,Number of Deaths,"257,750",100,0.2789524733,
CA,California,2015,November,12 month-ending,Number of Deaths,"258,808",100,0.308336682,
CA,California,2015,December,12 month-ending,Number of Deaths,"260,172",100,0.3559183924,
CA,California,2016,January,12 month-ending,Number of Deaths,"259,302",100,0.3586551588,
CA,California,2016,February,12 month-ending,Number of Deaths,"260,507",100,0.3619864341,
CA,California,2016,March,12 month-ending,Number of Deaths,"261,416",100,0.367613306,
CA,California,2016,April,12 month-ending,Number of Deaths,"261,595",100,0.3730958161,
CA,California,2016,May,12 month-ending,Number of Deaths,"261,557",100,0.3850021219,
CA,California,2016,June,12 month-ending,Number of Deaths,"261,467",100,0.3889592186,
CA,California,2016,July,12 month-ending,Number of Deaths,"261,604",100,0.3990764667,
CA,California,2016,August,12 month-ending,Number of Deaths,"261,783",100,0.4049155216,
CA,California,2016,September,12 month-ending,Number of Deaths,"262,043",100,0.3987895116,
CA,California,2016,October,12 month-ending,Number of Deaths,"262,754",100,0.3862928823,
CA,California,2016,November,12 month-ending,Number of Deaths,"262,364",100,0.3544693632,
CA,California,2016,December,12 month-ending,Number of Deaths,"263,209",100,0.3122993515,
CA,California,2017,January,12 month-ending,Number of Deaths,"265,346",100,0.3395566543,*Likely underreported due to incomplete data
CA,California,2017,February,12 month-ending,Number of Deaths,"264,894",100,0.366561719,*Likely underreported due to incomplete data
CA,California,2017,March,12 month-ending,Number of Deaths,"264,763",100,0.4022465375,*Likely underreported due to incomplete data
CA,California,2017,April,12 month-ending,Number of Deaths,"265,274",100,0.4369067455,*Likely underreported due to incomplete data
CA,California,2017,May,12 month-ending,Number of Deaths,"265,931",100,0.4978735085,*Likely underreported due to incomplete data
CA,California,2015,January,12 month-ending,Number of Drug Overdose Deaths,"4,603",100,0.2381230585,
CA,California,2015,February,12 month-ending,Number of Drug Overdose Deaths,"4,616",100,0.2308738796,
CA,California,2015,March,12 month-ending,Number of Drug Overdose Deaths,"4,608",100,0.2246163632,
CA,California,2015,April,12 month-ending,Number of Drug Overdose Deaths,"4,625",100,0.2226783899,
CA,California,2015,May,12 month-ending,Number of Drug Overdose Deaths,"4,607",100,0.217444398,
CA,California,2015,June,12 month-ending,Number of Drug Overdose Deaths,"4,604",100,0.2197474474,
CA,California,2015,July,12 month-ending,Number of Drug Overdose Deaths,"4,628",100,0.2243390221,
CA,California,2015,August,12 month-ending,Number of Drug Overdose Deaths,"4,670",100,0.2339509639,
CA,California,2015,September,12 month-ending,Number of Drug Overdose Deaths,"4,747",100,0.2558688458,
CA,California,2015,October,12 month-ending,Number of Drug Overdose Deaths,"4,784",100,0.2789524733,
CA,California,2015,November,12 month-ending,Number of Drug Overdose Deaths,"4,747",100,0.308336682,
CA,California,2015,December,12 month-ending,Number of Drug Overdose Deaths,"4,762",100,0.3559183924,
CA,California,2016,January,12 month-ending,Number of Drug Overdose Deaths,"4,745",100,0.3586551588,
CA,California,2016,February,12 month-ending,Number of Drug Overdose Deaths,"4,747",100,0.3619864341,
CA,California,2016,March,12 month-ending,Number of Drug Overdose Deaths,"4,772",100,0.367613306,
CA,California,2016,April,12 month-ending,Number of Drug Overdose Deaths,"4,799",100,0.3730958161,
CA,California,2016,May,12 month-ending,Number of Drug Overdose Deaths,"4,815",100,0.3850021219,
CA,California,2016,June,12 month-ending,Number of Drug Overdose Deaths,"4,849",100,0.3889592186,
CA,California,2016,July,12 month-ending,Number of Drug Overdose Deaths,"4,822",100,0.3990764667,
CA,California,2016,August,12 month-ending,Number of Drug Overdose Deaths,"4,803",100,0.4049155216,
CA,California,2016,September,12 month-ending,Number of Drug Overdose Deaths,"4,730",100,0.3987895116,
CA,California,2016,October,12 month-ending,Number of Drug Overdose Deaths,"4,681",100,0.3862928823,
CA,California,2016,November,12 month-ending,Number of Drug Overdose Deaths,"4,734",100,0.3544693632,
CA,California,2016,December,12 month-ending,Number of Drug Overdose Deaths,"4,793",100,0.3122993515,
CA,California,2017,January,12 month-ending,Number of Drug Overdose Deaths,"4,794",100,0.3395566543,*Likely underreported due to incomplete data
CA,California,2017,February,12 month-ending,Number of Drug Overdose Deaths,"4,723",100,0.366561719,*Likely underreported due to incomplete data
CA,California,2017,March,12 month-ending,Number of Drug Overdose Deaths,"4,686",100,0.4022465375,*Likely underreported due to incomplete data
CA,California,2017,April,12 month-ending,Number of Drug Overdose Deaths,"4,643",100,0.4369067455,*Likely underreported due to incomplete data
CA,California,2017,May,12 month-ending,Number of Drug Overdose Deaths,"4,628",100,0.4978735085,*Likely underreported due to incomplete data
CO,Colorado,2015,January,12 month-ending,Number of Deaths,"36,264",100,0.0193028899,
CO,Colorado,2015,February,12 month-ending,Number of Deaths,"36,330",100,0.0192678227,
CO,Colorado,2015,March,12 month-ending,Number of Deaths,"36,300",100,0.0192837466,
CO,Colorado,2015,April,12 month-ending,Number of Deaths,"36,601",100,0.0218573263,
CO,Colorado,2015,May,12 month-ending,Number of Deaths,"36,667",100,0.0218179835,
